Device_ID,Laptop_Manufacturer,Laptop_Model,Boot_Speed(s),Logon_Speed(s),CPU_Utilization(%),DEX_Score,WiFi_Upload_Speed(Mbps),WiFi_Download_Speed(Mbps),GPU_Usage(%),Battery_Health(%)
ASSET001,DELL,XPS,37.59,23.92,64.71,2,102.92,819.84,41.66,64.87
ASSET002,Apple,MacBook Pro,38.46,22.49,49.88,5,198.06,708.35,33.9,78.19
ASSET003,HP,MacBook Air,57.06,16.59,70.22,8,289.3,623.71,75.96,78.42
ASSET004,DELL,XPS,27.13,9.36,55.61,6,65.04,641.3,28.18,96.08
ASSET005,Apple,MacBook Pro,39.78,18.81,34.21,3,408.5,544.18,8.73,87.23
ASSET006,HP,XPS,46.23,14.06,42.37,7,299.29,950.66,27.88,88.24
ASSET007,DELL,MacBook Air,52.43,28.97,48.46,8,135.62,830.8,50.67,46.88
ASSET008,Apple,XPS,33.01,12.76,47.18,2,343.81,654.38,72.18,63.74
ASSET009,HP,MacBook Pro,50.94,17.11,61.49,9,222.18,781.54,33.15,70.8
ASSET010,DELL,XPS,42.83,25.94,51.07,1,116.84,577.08,88.45,88.74
ASSET011,Apple,MacBook Air,55.48,17.5,37.84,4,275.74,518.06,41.18,71.05
ASSET012,HP,XPS,47.16,8.85,58.04,6,230.46,662.27,60.19,72.38
ASSET013,DELL,MacBook Pro,30.19,31.27,45.11,4,310.79,978.06,56.35,60.13
ASSET014,Apple,XPS,58.89,13.95,37.74,3,402.82,732.56,19.77,44.2
ASSET015,HP,MacBook Air,34.96,26.63,68.07,7,202.84,603.04,45.08,80.49
ASSET016,DELL,XPS,46.68,31.01,63.66,1,173.46,787.14,38.92,69.64
ASSET017,Apple,MacBook Pro,35.93,9.83,58.41,10,350.77,519.73,83.44,79.68
ASSET018,HP,XPS,48.88,20.94,44.77,9,394.58,450.75,77.44,45.33
ASSET019,DELL,MacBook Air,33.63,13.43,63.59,6,390.52,681.33,78.79,77.87
ASSET020,Apple,XPS,30.57,24.43,59.51,3,255.71,742.25,38.02,64.32
ASSET021,HP,MacBook Pro,45.51,16.48,52.26,7,278.96,692.44,29.36,68.56
ASSET022,DELL,XPS,42.14,14.89,38.74,5,238.11,733.78,58.85,79.67
ASSET023,Apple,MacBook Air,56.15,19.65,50.98,1,330.88,893.07,34.24,61.55
ASSET024,HP,XPS,33.15,11.77,60.36,4,423.57,651.88,72.45,71.84
ASSET025,DELL,MacBook Pro,44.51,19.33,42.69,10,397.06,625.76,25.48,76.07
ASSET026,Apple,XPS,46.27,17.05,49.11,6,145.04,835.97,60.07,71.2
ASSET027,HP,MacBook Air,49.75,30.83,69.37,2,335.29,615.39,77.23,73.53
ASSET028,DELL,XPS,36.01,29.27,65.15,1,367.62,940.02,65.18,40.29
ASSET029,Apple,MacBook Pro,48.48,25.11,35.17,8,280.95,521.55,32.91,96.91
ASSET030,HP,XPS,29.39,15.33,47.94,9,269.57,577.68,74.95,88.71
